State,Year,black_male_mortality,black_female_mortality,white_male_mortality,white_female_mortality
California,2011,702.990296545381,649.15691754237,702.024975984093,689.622468861646
California,2012,698.876747558849,640.529286255076,705.978937883792,687.84377531814
California,2013,723.303005826445,640.892112689721,720.392549076064,693.817515415373
California,2014,726.201746995452,643.663748809442,710.199883207575,675.284840973716
California,2015,756.970623390953,676.362631334774,740.817763984692,705.188423966605
California,2016,773.74046106374,685.431171315746,748.183202743504,705.19308967568
Colorado,1999,555.391308020442,551.141893574161,654.569592322995,670.975455238172
Colorado,2000,545.756867865632,532.238611089595,644.703615701022,667.46103198683
Colorado,2001,519.320482351906,461.079180256462,643.236646732903,684.922294272986
Colorado,2002,521.734144919781,493.274472009783,671.982714769474,682.842920065678
Colorado,2003,565.862180278374,492.207566284293,664.654577743327,690.688394379615
Colorado,2004,486.579959160397,431.709569896791,646.907071149264,645.7713530452
Colorado,2005,523.007795090094,498.350322548875,666.972384055575,666.661576797066
Colorado,2006,502.746649088113,411.291474270481,645.246645774918,663.182044831632
Colorado,2007,478.121044168463,455.346378558843,658.836615127087,652.180934758835
Colorado,2008,520.032409014998,448.402172540104,673.442658205487,666.841122989891
Colorado,2009,514.985765921377,436.734729600812,658.779840659742,654.039803761199
Colorado,2010,510.084884354801,456.374689613837,656.867053920816,657.338729748471
Colorado,2011,496.619805742924,472.435705492897,674.720227361955,660.736698499318
Colorado,2012,506.857703573089,473.302645786145,676.442456303267,661.581602683589
Colorado,2013,517.431930071335,432.996382461668,679.635593159398,666.214010076221
Colorado,2014,477.212578406652,462.580410993814,707.518752165395,679.892564959086
Colorado,2015,528.384690979094,478.55157388626,716.506603304868,687.412020734048
Colorado,2016,510.778004499555,455.605933882115,742.539925229907,684.62732710285
Connecticut,1999,619.613724935764,522.557629285559,901.742186640737,953.459925289129
Connecticut,2000,646.654619954432,538.386815285576,914.32649689277,974.783419807646
Connecticut,2001,616.409239053422,537.426372586956,881.970744588444,976.950263992798
Connecticut,2002,606.992554224668,499.373809448637,910.543871187711,964.320028235479
Connecticut,2003,564.443462146585,497.009692720149,888.401648776441,949.585635359116
Connecticut,2004,575.34445331116,502.343932722521,880.987521064399,932.075351125839
Connecticut,2005,576.253309748514,486.682638812314,872.611153876052,948.101934673974
Connecticut,2006,569.668143984434,485.967503692762,870.84537485187,937.479368851918
Connecticut,2007,574.926209840104,481.412531269998,850.624778734243,916.566880903264
Connecticut,2008,536.310517529215,467.701452160619,856.38944340873,921.334149390834
Connecticut,2009,528.329292867299,482.798833819242,842.060304509551,915.180103757024
Connecticut,2010,524.902651211759,473.768133923361,858.803698385507,904.06916116007
Connecticut,2011,538.847489831666,462.330471287559,879.738469834748,935.33454058241
Connecticut,2012,487.352280496142,481.315476350233,884.079700354785,922.635467802554
Connecticut,2013,530.257869738284,479.028697571744,891.558372749429,934.597891248107
Connecticut,2014,522.245369709769,488.622146787867,905.693224917272,940.128878287937
Connecticut,2015,539.728022171595,509.500741131273,926.45084912503,967.967560941361
Connecticut,2016,576.208437139,537.023429088983,945.595918278936,946.144062773548
Delaware,1999,782.631340890089,623.419761043082,936.47307214248,911.047672308963
Delaware,2000,777.844833366861,675.315227934045,936.517062941793,944.605322202099
Delaware,2001,747.092834405249,712.098637979376,957.220237795777,971.221984904911
Delaware,2002,764.025045854152,578.100722054657,912.175648702595,940.119836655769
Delaware,2003,789.304918356273,662.678734239143,938.584836926242,928.208846990573
Delaware,2004,747.973736742106,628.468203403031,969.226804291871,910.708710583828
Delaware,2005,717.19641401793,658.018621194686,988.617003048613,960.265615887582
Delaware,2006,723.950215716835,603.411557106058,936.635413464494,910.713468491145
Delaware,2007,677.966101694915,571.962065746155,957.743079702896,920.051241826898
Delaware,2008,652.434328741337,586.673313074571,982.405523393158,964.170359798693
Delaware,2009,686.39798488665,586.882013240058,959.557900025119,939.169472502806
