State,Year,black_male_mortality,black_male_mortality_weighted,black_female_mortality,black_female_mortality_weighted,hispanic_male_mortality,hispanic_male_mortality_weighted,hispanic_female_mortality,hispanic_female_mortality_weighted,white_female_mortality,white_female_mortality_weighted,white_male_mortality,white_male_mortality_weighted
Alabama,2009,117.740079841309,14.6660073037585,113.284368144352,16.1568280716569,3.13160869267317,0.0650182564583705,2.26989086448794,0.0370849087272901,380.332824849756,137.499941574783,382.455593158213,134.16561094694
Alabama,2010,115.152803418432,14.3712613295712,114.58791866329,16.3633153896752,3.41023018844555,0.0740467506254415,1.90387084140212,0.0325902535982489,385.063108087978,139.03705036584,385.941817707087,135.178097169491
Alabama,2011,118.668693923521,14.8544344666203,113.689442194638,16.2914779879309,3.87506619904757,0.0843761640776483,2.31253950588323,0.0410111798491761,385.985760590077,139.16471855602,391.881694645617,136.976095601625
Alabama,2012,117.089842938895,14.7270146499418,112.916220234387,16.2300361131131,3.13540810139619,0.0677516797232319,2.18025066653378,0.0391615386460514,394.334670553742,141.924650360087,395.227535112418,137.798997242079
Alabama,2013,122.476979400884,15.4826588416835,114.46369266747,16.5135125665767,3.87205327945313,0.0834321069346095,2.48474007237634,0.0454494094525685,389.338063174102,139.860079109344,409.133159084034,142.282636603917
Alabama,2014,117.174256599027,14.8541505386453,116.554833216125,16.8714029195619,3.79913008180105,0.0824413237443415,2.64287310038334,0.0492683337168894,392.900251774958,140.916376634647,406.279796845648,140.976802929893
Alabama,2015,126.414462671577,16.0960695543875,116.463650176405,16.922359422485,4.22342973397543,0.0929796251330907,2.67827251422832,0.0510876809301553,402.81218613994,144.173712764929,419.808915557158,145.252176616398
Alabama,2016,127.444327925483,16.2657987393981,119.569016922666,17.4300368052944,3.76287705878724,0.0840981706400393,2.6525198938992,0.0518979346254994,403.964386322045,144.395110830084,421.25717105669,145.395007391796
Alaska,1980,8.67208134907853,0.165880731663222,2.97328503396978,0.0443199917847198,,,,,88.455229760601,32.3214866883182,197.47568100616,82.7795523818097
Alaska,1981,7.14012009682003,0.1416770743767,3.33205604518268,0.051785686855855,,,,,97.5816413232071,35.7074659678531,180.169030443092,75.5755312140888
Alaska,1982,5.53498999273809,0.112250722501021,5.31359039302857,0.0849850710233054,,,,,89.6668378823571,32.8949002157953,181.3262721621,76.0236546860041
Alaska,1983,6.32509778397139,0.129751287198305,5.91702695919904,0.0976933432504853,,,,,94.6724313471846,34.9051602940306,179.143092075061,74.965735542003
Alaska,1984,7.7667791555181,0.161243000638428,2.71837270443134,0.045487959486129,,,,,88.3471128940184,32.5708938498512,168.927446632519,70.6022090764713
Alaska,1985,7.68638067081481,0.163234954357878,4.68681748220415,0.0804404372042928,,,,,93.5488769447949,34.4815382395002,176.599282729453,73.6798464478451
Alaska,1986,6.24870201594154,0.134927855032497,3.49192171479086,0.0610445979991117,,,,,102.184656495985,37.4427111443525,173.677158972493,72.3071503514854
Alaska,1987,5.9394105877418,0.129906072612913,4.26895135993942,0.0756372981658018,,,,,93.1745035951995,33.8872031305879,172.799726787113,71.4824989836269
Alaska,1988,5.90946696607966,0.131098619148732,3.69341685379979,0.0666924528654531,,,,,95.6594965134145,34.4617194339107,171.00520033093,70.2761443329022
Alaska,1989,5.48003258792712,0.123636627247248,4.5666938232726,0.0840944619382713,,,,,96.2659057945865,34.4462714849974,167.68899719057,68.5312629510506
Alaska,1990,5.45472397278456,0.123746942642546,5.27289984035841,0.0978682239971102,,,,,98.003207377696,35.0014764227858,177.824001512777,72.475675355008
Alaska,1991,5.25909823995512,0.116265493135254,3.33076221863824,0.0610168732640938,,,,,98.520440361826,35.2553748185609,169.16766005189,68.9123045448389
Alaska,1992,5.59901864473209,0.127865961119217,4.9203497180979,0.0943933365952417,,,,,103.327344080056,36.8533475103691,167.12222318367,67.9449298196847
Alaska,1993,8.00154696574671,0.191327306073626,5.33436464383114,0.108655342671204,,,,,103.853411659588,36.9093685762593,172.533356448913,69.6329721465042
Alaska,1994,6.95458654982961,0.158445610727128,3.64287866895837,0.0740376885318785,,,,,114.419507284101,40.7117823027547,170.387370470826,68.4057111973388
Alaska,1995,6.77609789312937,0.145608137938989,4.79284972928663,0.0929549927829245,,,,,116.846370986402,41.7127493534689,189.400199646982,75.5487267302161
Alaska,1996,8.37120895029964,0.17806463687326,4.10353379916649,0.0770754233843356,,,,,122.941872623028,43.8130672779348,179.570639051526,71.0482300815521
Alaska,1997,5.54170130229981,0.11964431315545,4.23777158411162,0.0821956250728216,,,,,120.613498932408,42.829361407612,177.17145045882,69.4264433302506
Alaska,1998,6.28522343969328,0.138203342467603,4.83478726130252,0.0960719399130385,,,,,121.03084110794,42.7567417980365,174.696979708398,68.0307010373812
Alaska,1999,5.92209405245695,0.131753959926873,5.4419242644199,0.1107061175244,4.00141490030875,0.0789870497656096,3.04107532423465,0.0567738393605946,127.725163617855,44.9825203821166,178.303047957758,69.0679271463105
Alaska,2000,6.8587980833647,0.15248532167115,6.8587980833647,0.139061624606255,5.10422182948071,0.108022584959055,3.03063171125417,0.0608319075345053,143.077718157631,50.1755180481812,188.537193826444,72.4533496816815
Alaska,2001,8.20559432172873,0.187001065456036,4.73399672407427,0.0964034686375532,4.26059705166684,0.0970967070637109,3.47159759765446,0.0742128667749569,140.284102923401,48.8798609440699,195.198464922662,74.8526606021899
Alaska,2002,7.47271292172178,0.17300375637543,6.22726076810148,0.128803706722478,4.82612709527865,0.116344812879205,3.73635646086089,0.0840995329727647,138.867915128663,48.2064207968547,196.625758752804,75.2197903075941
Alaska,2003,6.47734317889497,0.14762509368661,6.16889826561425,0.127656523344672,4.47245124257033,0.111670916447229,4.31822878592998,0.101406924778545,145.277554155216,50.3473094418614,201.568750828946,76.7296974785495
Alaska,2004,9.10075445254412,0.209047098572286,5.61213191240221,0.115079663945185,4.24701874452059,0.109137751400254,2.5785470948875,0.0623315299448526,136.359637547286,47.1047441815566,191.267522744302,72.736872973078
Alaska,2005,7.64679599247915,0.176211578761117,4.79798964233986,0.0964135884863824,3.89836658440114,0.104171386090024,3.14868070278553,0.0783693127573145,140.191259862118,48.2053149830709,189.670528048748,72.0521976088479
Alaska,2006,6.51560338929842,0.149222602656129,5.03478443718514,0.101485684566259,5.03478443718514,0.137205484357396,4.59053875155116,0.116255236514964,155.04174428626,53.2423206583374,199.318230954447,75.5745316230622
Alaska,2007,8.81963839482581,0.205575490264226,5.29178303689549,0.106839100414169,5.43877701014258,0.149188619412422,3.52785535793033,0.0911029882818168,153.608702043216,52.5439756249723,205.791562545936,77.95667530358
Alaska,2008,8.436915870857,0.20009378993309,6.2549548697733,0.125298359182271,5.52763453607873,0.155137690087501,4.2184579354285,0.110220947460076,153.173662276076,52.0387829301216,206.849902902735,78.3556597374435
Alaska,2009,8.01264853804935,0.186542763022487,4.86482232667282,0.0995524204867321,3.72015824980863,0.10364246600995,2.86166019216048,0.0768178436891419,155.67431445353,52.9962458829383,206.754948883595,77.4906170747632
Alaska,2010,8.44795566512867,0.202696886631895,5.63197044341911,0.113895326279519,5.77276970450459,0.163600727949454,3.09758374388051,0.0833938518126346,154.456789410769,52.2270378895943,215.845267244038,81.228067119644
Alaska,2011,8.44041825731653,0.209108856347198,5.94980303384608,0.123019658889161,6.6416405959212,0.199888924928543,4.28939288486578,0.121319915318448,153.726306293093,51.8048546209668,219.865977227475,82.2786540038116
Alaska,2012,10.3954511694199,0.267803136587821,6.70233035923123,0.142235289442835,6.01841909808519,0.194796873045539,3.82990306241785,0.114668321002319,158.804194838111,53.1755517007421,215.021700504316,80.2468589653245
Alaska,2013,10.7208917610625,0.283153673064097,6.6496670416717,0.142652913971963,5.83542209779353,0.200194971809782,3.25697977551267,0.100280177813225,160.813376415938,53.3913879214352,215.910617618361,80.5399734654255
Alaska,2014,10.5876843512668,0.281526728822209,5.70106080452827,0.1217977290808,6.65123760528298,0.235748523967055,4.88662354673852,0.155048255957287,160.444139784581,52.9607984532953,232.657576641939,86.4651630011967
Alaska,2015,11.6577132717643,0.311674493410014,7.59106910719539,0.162840183082173,7.99773352365228,0.289202842146359,4.74441819199712,0.153566267442185,172.019048161267,56.5167901964581,230.172059714603,85.2571619176866
Alaska,2016,11.052791908278,0.300062113758337,5.79597624458481,0.127318760979329,6.73950726114512,0.246581297458294,5.526395954139,0.182166203067378,174.418447918436,57.0876502537374,241.00477965855,88.8216508943051
Arizona,1980,12.1079367525413,0.174225528139456,8.2187207047553,0.109701150627611,,,,,306.110655534703,140.999128906455,418.531013746177,186.803143917054
Arizona,1981,12.4251650061913,0.184480924905831,7.17109523214468,0.0985697698907047,,,,,297.280947890988,136.806812325313,406.125393345224,181.22631139647
Arizona,1982,10.5314406665539,0.158275797717529,6.28433508627149,0.0873486751319098,,,,,303.409079137734,139.509885116957,403.129736990218,179.774824322294
