State,Year,black_male_mortality,black_female_mortality,white_male_mortality,white_female_mortality
Florida,1993,902.045602605863,689.68961086602,1215.698411554,1022.89849253203
Florida,1994,891.531207108939,669.266534724755,1206.663222294,1019.80410137681
Florida,1995,900.603091976631,691.301653097005,1211.44602367113,1032.93173957465
Florida,1996,826.90669891355,660.248720130568,1185.30549811462,1030.61148792448
Florida,1997,778.393314034075,642.295572299771,1158.09498652758,1034.28293213267
Florida,1998,758.072675042221,643.848987997686,1154.9959539427,1052.48028501202
Georgia,1980,1001.62468712816,782.498625513035,884.505912429945,691.228551439541
Georgia,1981,996.273006851944,749.79677938969,883.771830617939,700.766041812487
Georgia,1982,920.543444973412,710.692609825959,872.842232035327,688.768773506718
Georgia,1983,935.777675587006,720.236657812123,882.87239444644,728.73654599989
Georgia,1984,911.070804873608,742.117667142444,870.295906443555,730.174354717412
Georgia,1985,953.896961690885,730.543689297854,890.550865719524,748.032865835682
Georgia,1986,944.267825861286,736.128454700445,875.044241193674,751.620398020227
Georgia,1987,936.053554351291,735.009541365679,872.905219090861,750.482915422794
Georgia,1988,969.499947405066,750.354630190209,875.561549200837,754.967943993466
Georgia,1989,977.057863455794,752.898611022557,859.853857118099,760.921444363826
Georgia,1990,949.636917882328,727.434917517801,852.528586998041,747.305078031625
Georgia,1991,959.074172478169,712.090974014364,845.00165951114,742.795013107536
Georgia,1992,905.947126541384,700.037002385601,820.019076643517,746.878248848979
Georgia,1993,926.886652171327,720.708646658528,844.40873098241,783.135260176808
Georgia,1994,898.636943230605,681.098735370651,836.269871918646,781.494487655237
Georgia,1995,891.069829832346,712.229415722102,823.060511459244,805.307722292001
Georgia,1996,846.341565617162,687.928077274161,818.377158404056,799.935813487989
Georgia,1997,809.663873247521,673.319892070026,798.608260935187,810.160963388602
Georgia,1998,765.901543762999,675.995032624361,805.701074181548,810.34008819132
Hawaii,1980,213.359592975546,172.830971310059,504.626185978563,411.314229249012
Hawaii,1981,221.466424108202,109.735068192507,532.425404144661,397.577493656664
Hawaii,1982,237.129962518167,159.67484395413,518.870181445075,433.820975731616
Hawaii,1983,152.516522623284,171.707832518822,548.150382509114,431.35851082871
Hawaii,1984,263.852242744063,184.888450634784,538.091772833028,429.740146123472
Hawaii,1985,255.01644184954,174.276751481352,536.967354825587,437.423773337086
Hawaii,1986,253.493662658434,154.20200462606,520.704814756996,467.38787942443
Hawaii,1987,288.981027767307,135.416666666667,568.960277405501,459.403929173304
Hawaii,1988,202.839756592292,188.379932579814,558.828496776181,443.079748615376
Hawaii,1989,167.885837630411,122.572128983594,574.834790602959,484.242143913567
Hawaii,1990,177.451792263102,165.274079515196,566.587604108623,492.720145198823
Hawaii,1991,282.079646017699,218.910499284331,580.832057666596,493.18133029026
Hawaii,1992,189.238952536825,128.554143980641,579.33159198982,480.645197473949
Hawaii,1993,152.119177507344,88.6721347816449,623.696618552928,486.273717074047
Hawaii,1994,233.729808341557,142.227279192149,601.662653974013,502.64580113053
Hawaii,1995,270.396755238937,183.745583038869,623.120107380446,518.551682317671
Hawaii,1996,177.536421074618,122.399020807834,655.269666764148,535.449989428149
Hawaii,1997,205.576933213853,130.406433384047,612.67192196336,527.423733492845
Hawaii,1998,158.302991926547,154.775943396226,643.634354870589,559.557949220116
Idaho,1980,439.97485857951,484.496124031008,825.313956961598,613.966608152579
Idaho,1981,637.68115942029,708.59167404783,829.604335997207,618.195766937865
Idaho,1982,284.738041002278,263.157894736842,821.34701753499,617.243884616432
Idaho,1983,494.777350192413,758.85328836425,835.491023382464,648.938450747903
Idaho,1984,545.85152838428,497.512437810945,820.56790681567,656.888978748074
