State,Year,black_male_mortality,black_male_mortality_weighted,black_female_mortality,black_female_mortality_weighted,hispanic_male_mortality,hispanic_male_mortality_weighted,hispanic_female_mortality,hispanic_female_mortality_weighted,white_female_mortality,white_female_mortality_weighted,white_male_mortality,white_male_mortality_weighted
New Jersey,2003,57.7696519706904,823.513813619715,55.1305473224016,701.260405406005,22.4149504929545,1.66583691276332,18.124952188027,1.31549479105826,389.320252675087,979.762822905975,340.909540095905,900.354301684246
New Jersey,2004,53.6332999442589,762.206663177403,53.2626962737307,675.667734257926,20.5337596202054,1.56895887492001,16.978280656075,1.26826437751324,375.977423750901,951.010815170122,329.200291711414,872.716353829452
New Jersey,2005,54.1841665266216,768.076335777808,54.9354401666025,695.644792323758,20.6542460714746,1.62102181515201,18.5622379355278,1.42519669209657,374.642827174469,952.67346084043,331.612184687564,882.349323114963
New Jersey,2006,52.6225919940002,744.104951775208,53.2460277043285,672.200319193127,24.2100867510791,1.95059697095702,19.2226010684534,1.51614286527328,363.312932746642,928.256226918221,327.730916834946,875.370352553428
New Jersey,2007,51.3604409369334,724.518707928091,51.4180586629115,647.448296276519,22.7935723969608,1.88383833983505,18.8870905756414,1.52935443585633,360.82524716564,926.528963646935,323.339154644248,867.154115713881
New Jersey,2008,52.3241063977068,736.272824780637,50.8547150815799,639.589276845424,25.3699594425038,2.15281001575487,20.4452026095471,1.70237470327886,361.275110233048,932.272979339568,322.393638453971,867.866921303593
New Jersey,2009,49.8766389792501,700.013625179331,48.5860366882826,607.986142375091,24.2016482704445,2.11196068252846,21.3805972450552,1.83587241578617,349.616165741659,906.387796942603,314.187419665718,849.374570820221
New Jersey,2010,51.0356471540717,713.964067892621,50.842287225028,633.984999943268,25.6713741089235,2.28749534078375,20.6667641807328,1.81406637229023,350.072464476938,910.584172675493,320.351905971569,868.765378442712
New Jersey,2011,50.4453955173498,701.600940082336,52.2324745513725,649.221931835915,26.6930792423645,2.44831698029928,21.5693653030462,1.95077239081554,353.751163722115,925.594085147198,323.065433220193,879.46309121593
New Jersey,2012,49.7565086641127,687.866134862271,50.9060361575984,630.379930556331,27.1716743803342,2.54188598031786,23.0130896244888,2.12569444973614,350.83128306089,922.272814401558,323.637068925781,884.274225086081
New Jersey,2013,50.8250102650115,697.719261710284,51.5554161167085,635.728260809321,28.182428862403,2.6833908830624,24.5191625908147,2.30914563967221,351.898302334534,929.376469586188,326.895948180289,896.387733991833
New Jersey,2014,51.2044760555209,697.01716309439,52.4033554730134,643.040397290898,28.7058791365962,2.78453750750186,25.691873872059,2.46682838239121,348.829092568169,925.668792952632,324.885117659931,894.318321311831
New Jersey,2015,53.4166213321118,722.118334815998,55.2072476495512,674.434120651657,30.8211554889244,3.03841917690848,26.3445896953261,2.57620257822783,349.843616769708,932.437366219399,327.460787801716,905.038397630445
New Jersey,2016,54.3576147449334,729.597310904194,56.2023301774538,684.043298702536,32.8023944182712,3.28829695097343,27.6371912072142,2.75005296200474,351.233818351878,940.533753503875,331.009029155336,918.227594651224
New Mexico,1980,6.73781183435396,690.900526026537,3.98143426575461,446.007376275838,,,,,260.937076494072,577.071565001829,373.106330327351,846.122992563216
New Mexico,1981,6.89008000730948,693.39764847754,4.94288348350462,543.523017376266,,,,,254.783175922466,562.716787386675,341.133852535812,773.56923656953
New Mexico,1982,6.3666953045988,630.663283798478,4.39082434799917,475.624256837099,,,,,266.66939873515,589.281671464148,354.193164071933,803.52888636541
New Mexico,1983,6.87612587607932,667.408231368187,3.29481031562134,351.225471482019,,,,,261.865793780687,579.28302634185,342.946778069456,778.194938807353
New Mexico,1984,6.77133552602344,654.887782249812,4.65529317414112,494.678459001649,,,,,274.027484568761,606.866258236042,341.035492378368,775.643977008212
New Mexico,1985,7.91840431650279,757.978723404255,5.07055715004126,532.14754337367,,,,,271.170617996727,602.336212841919,350.563040222716,799.305695231247
New Mexico,1986,6.76389827370285,640.693761325395,4.91919874451117,512.346118266562,,,,,276.841573788323,615.965547277484,355.275464881362,811.979825424338
