State,Year,Gender.Code,Race,Group_Population,Group_Deaths,State_Population,State_Deaths,population_proportion,deaths_proportion,black_male_mortality,black_male_mortality_weighted,black_male_mortality_weighted_2,black_female_mortality,black_female_mortality_weighted,black_female_mortality_weighted2,hispanic_male_mortality,hispanic_male_mortality_weighted,hispanic_male_mortality_weighted2,hispanic_female_mortality,hispanic_female_mortality_weighted,hispanic_female_mortality_weighted2,white_male_mortality,white_male_mortality_weighted,white_male_mortlaity_weighted2,white_female_mortality,white_female_mortality_weighted,white_female_mortality_weighted2
Rhode Island,1989,F,White,489269,4694,1001925,9557,0.488328966739027,0.491158313278225,,,,,,,,,,,,,,,,468.498141078424,959.390437571152,230.106756746063
Rhode Island,1990,F,White,488856,4757,1004026,9576,0.486895757679582,0.496762740183793,,,,,,,,,,,,,,,,473.792511349308,973.088189569116,235.362466216443
Rhode Island,1991,F,White,490248,4635,1010812,9398,0.485004135289253,0.493190040434135,,,,,,,,,,,,,,,,458.542241287203,945.439859010134,226.148466521194
Rhode Island,1992,F,White,489953,4745,1012667,9469,0.483824396371167,0.501108881613687,,,,,,,,,,,,,,,,468.564691058364,968.460240063843,234.801928299919
Rhode Island,1993,F,White,489875,4911,1014973,9786,0.482648306900775,0.501839362354384,,,,,,,,,,,,,,,,483.85523555799,1002.50063791784,242.817602884252
Rhode Island,1994,F,White,489041,4733,1015892,9408,0.481390738385576,0.503082482993197,,,,,,,,,,,,,,,,465.895981068854,967.812514697132,234.384106972671
Rhode Island,1995,F,White,488043,4859,1016502,9657,0.48012005878985,0.503158330744538,,,,,,,,,,,,,,,,478.011848476442,995.608993469838,240.515643755517
Rhode Island,1996,F,White,488491,4866,1020486,9546,0.478684665933683,0.509742300439975,,,,,,,,,,,,,,,,476.831627283471,996.128894902874,243.061250614013
Rhode Island,1997,F,White,488802,5005,1024948,9820,0.476904194163997,0.509674134419552,,,,,,,,,,,,,,,,488.31745610509,1023.93198063838,248.882776762319
Rhode Island,1998,F,White,490296,4850,1031343,9604,0.475395673408362,0.504997917534361,,,,,,,,,,,,,,,,470.260621345178,989.19836180593,237.480634477729
South Carolina,1980,F,White,1093605,7343,3126100,25154,0.349830459678193,0.29192176194641,,,,,,,,,,,,,,,,234.893317552222,671.449014955126,68.5704711292822
South Carolina,1981,F,White,1111993,7775,3182070,25428,0.349455857350718,0.305765298096586,,,,,,,,,,,,,,,,244.337805265126,699.195048889696,74.710021863157
South Carolina,1982,F,White,1123489,7627,3209765,25070,0.350022197886761,0.304228161148783,,,,,,,,,,,,,,,,237.618641863189,678.867349836091,72.2902824687094
South Carolina,1983,F,White,1134186,8028,3234838,26164,0.35061601230108,0.306833817459104,,,,,,,,,,,,,,,,248.173169722873,707.820410408875,76.1479210569954
South Carolina,1984,F,White,1147418,8184,3272398,26374,0.350635222243749,0.310305604003943,,,,,,,,,,,,,,,,250.09182868343,713.253583262595,77.6048959560626
South Carolina,1985,F,White,1164204,8446,3304946,27099,0.35226112620297,0.311672017417617,,,,,,,,,,,,,,,,255.556369150963,725.474229602372,79.649769137202
South Carolina,1986,F,White,1176083,8831,3344298,28141,0.35166812287661,0.313812586617391,,,,,,,,,,,,,,,,264.061396442542,750.882378199498,82.8657898434344
South Carolina,1987,F,White,1190331,9163,3383016,28493,0.351854972013139,0.321587758396799,,,,,,,,,,,,,,,,270.85299034944,769.785883086301,87.1030060215462
South Carolina,1988,F,White,1202710,9500,3416448,29428,0.352035213180473,0.322821802365094,,,,,,,,,,,,,,,,278.066576748717,789.882847901822,89.7659534835126
South Carolina,1989,F,White,1217056,9383,3462182,29618,0.351528602482481,0.316800594233237,,,,,,,,,,,,,,,,271.014059919438,770.958772644808,85.85741522804
South Carolina,1990,F,White,1227344,9621,3489605,29715,0.351714305773863,0.323775870772337,,,,,,,,,,,,,,,,275.704556819468,783.887809774603,89.2664829601246
South Carolina,1991,F,White,1254308,9607,3572113,29966,0.351138947732057,0.320596676233064,,,,,,,,,,,,,,,,268.944459483785,765.920332167219,86.2226998017993
South Carolina,1992,F,White,1268973,9917,3621983,30638,0.350353107676099,0.323683008029245,,,,,,,,,,,,,,,,273.800291166469,781.498109100824,88.6245018440456
South Carolina,1993,F,White,1282641,10598,3664533,31963,0.350014858646381,0.331570878828646,,,,,,,,,,,,,,,,289.204654453924,826.263935115126,95.8918414386222
South Carolina,1994,F,White,1296442,10812,3706500,32274,0.349775259678942,0.335006506785648,,,,,,,,,,,,,,,,291.703763658438,833.974832657381,97.7226588794395
South Carolina,1995,F,White,1310048,11199,3749504,33527,0.349392346294337,0.33402928982611,,,,,,,,,,,,,,,,298.679505342573,854.8541732822,99.7677030551937
