State,Year,black_male_mortality,black_female_mortality,hispanic_male_mortality,hispanic_female_mortality,white_male_mortality,white_female_mrtality
Alaska,2014,10.5876843512668,5.70106080452827,6.65123760528298,4.88662354673852,232.657576641939,160.444139784581
Alaska,2015,11.6577132717643,7.59106910719539,7.99773352365228,4.74441819199712,230.172059714603,172.019048161267
Alaska,2016,11.052791908278,5.79597624458481,6.73950726114512,5.526395954139,241.00477965855,174.418447918436
Arizona,1980,12.1079367525413,8.2187207047553,,,418.531013746177,306.110655534703
Arizona,1981,12.4251650061913,7.17109523214468,,,406.125393345224,297.280947890988
Arizona,1982,10.5314406665539,6.28433508627149,,,403.129736990218,303.409079137734
Arizona,1983,12.2374372116932,8.10225925279688,,,398.826147369001,307.784993607284
Arizona,1984,10.8723108934045,7.61712799118757,,,411.422567011195,315.492326882863
Arizona,1985,10.4054619899757,7.1459196798628,,,403.713120159266,315.736819539201
Arizona,1986,11.1301842452694,7.05816561895136,,,400.867611435314,316.410928815383
Arizona,1987,10.8865387512879,7.54800020089293,,,406.285626198064,323.373747068255
Arizona,1988,11.8244639976114,8.66374808416874,,,403.245265064127,322.590567915742
Arizona,1989,12.0387034674496,8.92572064863543,,,395.10088130472,326.75300189341
Arizona,1990,11.2533783977097,8.0653753165183,,,399.072590830159,330.189925964759
Arizona,1991,11.6112817324455,8.5501256393462,,,395.654425033079,329.206226391493
Arizona,1992,12.3041640405445,8.32190347970438,,,405.297121310633,329.914971078833
Arizona,1993,11.2126037534683,8.38486377178221,,,412.948393499444,349.041469913338
Arizona,1994,12.7833043923716,8.33386695193289,,,404.074837183549,345.855478505215
Arizona,1995,12.1113950635578,8.43512430869758,,,397.059795333211,343.855361525143
Arizona,1996,10.675751077216,8.86740956821816,,,396.418960918254,345.502164454063
Arizona,1997,10.9704780217021,8.58650875929379,,,382.342256129438,345.253601586838
Arizona,1998,10.7035047326682,8.67741110258378,,,384.364287541571,344.865694551036
Arizona,1999,11.1667946900199,8.61893422598686,48.4690642962541,34.1373491860681,392.410321780843,349.39527129041
Arizona,2000,11.0122885445692,8.82932161184041,47.9278186391072,36.1748805995051,383.169169022452,350.794989779037
Arizona,2001,10.9415476733851,9.1590425064905,50.0997728822938,36.2758764283982,378.118649232755,343.682166434024
Arizona,2002,10.6555379610489,7.31989129498143,52.6290918423981,36.5994564749071,388.584305226495,352.244287936727
Arizona,2003,11.5600348724694,9.43676316119951,52.6643974880788,39.4347814409357,382.007431813942,348.470627348756
Arizona,2004,10.8803263177933,9.02270962938955,52.2432579129163,38.6384271187976,371.98331895597,339.21849889003
Arizona,2005,10.9092584324543,9.69331283009284,55.3340879046466,38.9616372587654,380.710855499936,348.376978073761
Arizona,2006,12.8210635644448,8.82381088781968,53.6394819759564,37.1031296166403,370.76591839534,343.730557968374
Arizona,2007,11.4954064582782,9.58220764011628,53.6019940071479,39.4475654626107,357.135850573335,326.58952367997
Arizona,2008,11.7349923459826,9.4898988306725,49.9811953514782,37.895904726511,353.164355812611,319.710870169586
Arizona,2009,11.2719949728479,10.2315031292004,49.1868871542454,39.6175151982752,346.862144605034,316.262225385037
Arizona,2010,12.093209389149,9.77782130429253,48.5605717256384,38.9704845903883,351.766899243228,318.115549442375
Arizona,2011,12.2310200005783,10.4218805061818,50.2074866521843,39.3371869550837,357.977678929695,328.660341482038
Arizona,2012,12.8709482087091,11.3899494231281,52.628894988636,41.8802027716358,366.280008928743,326.140361430883
Arizona,2013,14.219689983587,11.0346001889619,53.301194620006,44.7573044600163,364.805995576801,332.215432228007
Arizona,2014,13.5714427083481,11.3988213975818,54.2411279297464,44.4196891276524,369.137289279914,329.911057943066
Arizona,2015,15.0640294591984,11.9544148093931,57.6158789831854,45.4707802565872,384.272097149055,340.634816096363
Arizona,2016,16.9093636466861,12.4800337494739,61.6643517286145,47.1355725543715,396.778506525182,343.049436371378
Arkansas,1980,98.0512531902706,83.5445615417992,,,458.053158285921,352.617474708326
Arkansas,1981,93.5171879795753,71.8055051759257,,,455.073383743966,353.490610787131
Arkansas,1982,92.4317928760843,72.0366589458592,,,451.089810495214,360.052556691282
Arkansas,1983,89.5512161402082,78.4494673112041,,,467.400972183614,367.615331341668
Arkansas,1984,92.4964915123909,77.2815513894301,,,467.740878794253,378.477023285324
Arkansas,1985,90.5036850076587,80.3236312123027,,,473.093301696418,391.867640400982
Arkansas,1986,90.8425247619832,78.8387933163223,,,468.488490136362,387.977748511537
Arkansas,1987,91.8373182137471,78.4372634186186,,,471.775814522758,399.057045825627
Arkansas,1988,92.8277350160636,82.9306603268509,,,472.499996800515,412.733610422985
Arkansas,1989,92.5618821313416,79.9591603692087,,,464.853095266784,410.227108709971
Arkansas,1990,93.0063714465339,81.4443362392865,,,460.228511723776,411.259892022493
Arkansas,1991,91.0601651414474,81.7066797307874,,,461.089081252847,414.405541961078
Arkansas,1992,87.8569161353386,78.4215054528811,,,454.513664585221,410.274831166155
Arkansas,1993,88.7662829760026,81.3589177758043,,,470.611889065345,437.034546811699
Arkansas,1994,84.7725970075073,75.3534195622287,,,464.42557046146,426.989350317246
Arkansas,1995,85.8888689524358,78.1202246991622,,,459.730226927225,426.368434854791
Arkansas,1996,78.9276104403625,72.4766092916179,,,450.093345209393,427.359395377974
Arkansas,1997,79.5464545530354,76.126341289644,,,459.486452700794,451.262809573089
Arkansas,1998,79.1607740096911,75.5833159534839,,,445.697992513218,442.919753809993
Arkansas,1999,76.8140097893554,76.1352409252374,1.8477596856546,1.16899082153658,450.400850723643,447.044715784393
Arkansas,2000,74.9233186204833,76.2325129049151,2.65579411984739,1.19697763148051,449.577317273883,450.998728211267
Arkansas,2001,71.4081107278983,71.1480395649976,2.04341627993466,0.854519535245401,442.901190420019,442.864037396747
Arkansas,2002,70.9923068878059,75.944399091328,1.25650100686382,1.07172144703091,449.753448633315,451.675156055577
Arkansas,2003,73.4728510108573,68.9954844657401,1.68818738586385,0.990892596050522,437.901128002772,439.699414565974
Arkansas,2004,70.4807748957517,68.5532820838452,3.74588225710136,2.25480291204159,425.248555653264,433.504043734448
Arkansas,2005,71.3747129280281,70.619615209394,4.27888707225962,3.45187528518423,434.648629659447,428.032535362844
Arkansas,2006,71.1966747006568,68.9640263650961,4.96144074569037,3.18949762222952,426.613026404433,416.902778087868
Arkansas,2007,68.1024344865112,67.856704052797,4.80929563126393,3.3700173766521,424.938128587226,423.569059027961
Arkansas,2008,72.1155351404079,65.2970860870939,4.03540862338992,2.85261644067219,437.52874358944,438.920263804402
Arkansas,2009,67.8324645139554,65.5541221944027,5.07448971173101,2.83066773035335,432.919561053188,416.625961434569
Arkansas,2010,65.3653497800693,63.1705006793744,5.17847209695197,2.91503396186038,438.318224312206,419.319061784316
Arkansas,2011,67.7667883543183,63.1741596254864,4.96684292155144,3.87821981545797,441.4366695209,429.631912714199
Arkansas,2012,65.5779929067318,64.1884850466926,4.88022272794283,3.32126268984998,449.658299682955,435.492097597677
Arkansas,2013,68.138885706145,62.1564537765876,5.74583857641103,3.65029744854348,454.124041839169,437.596306169375
Arkansas,2014,69.0954096380344,60.601730014237,4.71871090210967,4.14572457828207,455.018551274861,434.492158850684
Arkansas,2015,69.5467506287248,62.7633398962272,5.27225487624809,3.52603033124872,474.099963967328,447.302133449838
Arkansas,2016,71.8815841255478,66.7615271557113,5.99013201046232,4.41730405240797,473.722395196115,441.763869665436
California,1980,32.8329888138163,24.4761903517706,,,376.346711979085,333.892658672656
California,1981,31.8555415476979,24.1329860209833,,,361.497753496274,323.115009431582
California,1982,31.4633792602169,24.4429242840714,,,359.33390598694,321.911583843191
California,1983,30.4270620053363,23.8676047976642,,,347.367750062474,317.243856247409
